Date,Header,Description,Category,URLS
06 May 2020,Coronavirus hits GM Q1 profit hard,[DETROIT] General Motors on Wednesday reported a huge plunge in first-quarter quarter profit as it burned through cash with its the North American vehicle production shut down due to the coronavirus pandemic.,transport,https://www.businesstimes.com.sg/transport/coronavirus-hits-gm-q1-profit-hard
06 May 2020,US may require masks at airports in changes to limit coronavirus,"[WASHINGTON] The lead US airport security agency is weighing the possibility of requiring masks or face coverings for passengers who pass through checkpoints, according to a US official and two people familiar with the deliberations.
",government-economy,https://www.businesstimes.com.sg/government-economy/us-may-require-masks-at-airports-in-changes-to-limit-coronavirus
06 May 2020,Volkswagen sees multi-speed coronavirus rebound led by China,"[FRANKFURT] Volkswagen said demand in China was rebounding, thanks to customers who want to switch from public transport to personal vehicles, but warned sales would not recover as quickly in other parts of the world.
",transport,https://www.businesstimes.com.sg/transport/volkswagen-sees-multi-speed-coronavirus-rebound-led-by-china
06 May 2020,"788 new coronavirus cases in Singapore, taking total past 20,000","[SINGAPORE] The Ministry of Health (MOH) has preliminarily confirmed 788 new Covid-19 cases in Singapore as of Wednesday noon, taking the total count in the country past 20,000.",government-economy,https://www.businesstimes.com.sg/government-economy/788-new-coronavirus-cases-in-singapore-taking-total-past-20000
06 May 2020,BMW reports first-quarter profit rise as coronavirus saps demand,"[FRANKFURT] BMW on Wednesday reported a 133 per cent rise in first-quarter profit, due to the absence of a one-off provision in the year-earlier period, but said the impact of the coronavirus could erode demand and profit.
",transport,https://www.businesstimes.com.sg/transport/bmw-reports-first-quarter-profit-rise-as-coronavirus-saps-demand
06 May 2020,"US coronavirus deaths rise by 2,333 in 24 hours: Johns Hopkins","[WASHINGTON] The US coronavirus death toll climbed by 2,333 in the past 24 hours, a tally by Johns Hopkins University showed on Tuesday, more than twice as many as the day before.
",government-economy,https://www.businesstimes.com.sg/government-economy/us-coronavirus-deaths-rise-by-2333-in-24-hours-johns-hopkins
06 May 2020,New Zealand Q1 jobless rate inches up but coronavirus shock to be reflected in next quarter,"[WELLINGTON] New Zealand's jobless rate rose to 4.2 per cent in the first quarter ahead of a strict lockdown that was enforced to limit the spread of the novel coronavirus, according to data released by Statistics New Zealand on Wednesday.
",government-economy,https://www.businesstimes.com.sg/government-economy/new-zealand-q1-jobless-rate-inches-up-but-coronavirus-shock-to-be-reflected-in
06 May 2020,France daily coronavirus deaths rise to 330,"[PARIS] France on Tuesday recorded 330 new coronavirus deaths over the last 24 hours, a rise in the daily toll as the country prepares to begin easing lockdown measures in less than a week.
",government-economy,https://www.businesstimes.com.sg/government-economy/france-daily-coronavirus-deaths-rise-to-330
06 May 2020,White House readies to scrap Trump's coronavirus task force,"[WASHINGTON] In the latest sign that the Trump administration no longer considers the coronavirus pandemic its top daily priority, the White House is set to disband the emergency task force handling the outbreak.
",government-economy,https://www.businesstimes.com.sg/government-economy/white-house-readies-to-scrap-trumps-coronavirus-task-force
06 May 2020,Disney to see at least US$1.4b impact from coronavirus,"[SAN FRANCISCO] Walt Disney said Tuesday it will see an impact of some $1.4 billion from the coronavirus in the current fiscal quarter as a result of a massive hit to its theme parks and other operations.
",consumer,https://www.businesstimes.com.sg/consumer/disney-to-see-at-least-us14b-impact-from-coronavirus
06 May 2020,Oil prices surge as coronavirus lockdowns ease,"[NEW YORK] Oil prices soared on Tuesday, as some European and Asian countries along with several US states began to ease coronavirus lockdown measures.
",energy-commodities,https://www.businesstimes.com.sg/energy-commodities/oil-prices-surge-as-coronavirus-lockdowns-ease
